marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment,cleaned_review_body
US,31469372,R175VSRV6ZETOP,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,3,0,0,N,N,Lots of ads Slow processing speed Occasionally shuts down apps ...,Lots of ads<br />Slow processing speed<br />Occasionally shuts down apps<br />WIFI keeps having authentication issues<br /><br />Was cheap for a tablet and now i know why.,2015-08-31,0,lot adsbr slow process speedbr occasion shut appsbr wifi keep authent issuesbr br cheap tablet know
US,14239730,R15B8KUCTZEIAZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,Four Stars,Good product. I like it 😀,2015-08-31,1,good product like
US,44445848,RH819AVFZQQJD,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,Not a bad product. Simple. Works well. Nothing fancy.,"This kindle works well but the battery goes dead more quickly than you'd expect. Really it is a version of the previous Kindle that weighs less. The internet browser works considerably better than the previous but still has issues loading certain websites. Pop-up ads are a challenge at times. Other than that it is about the same as the older version, a good product that serves its purpose well but I wouldn't rave about it.",2015-08-31,1,kindl work well batteri goe dead quickli youd expect realli version previou kindl weigh le internet browser work consider better previou still issu load certain websit popup ad challeng time older version good product serv purpos well wouldnt rave
US,16092745,R2TPJAFH6DBEEZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Like looks and,Made well. Like looks and style,2015-08-31,1,made well like look style
US,13443121,R1ME7QUMA7VEU2,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Love,We have the old kindles but this one does a lot more.  Love it,2015-08-31,1,old kindl one lot love
US,27958433,R1Z362DKECOPMA,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Great product,2015-08-31,1,great product
US,42925795,R34KLL8U89EDIV,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,my new kindle,The only complaint I have about this kindle is that the camera takes &#34;grainy&#34; pictures. After trying everything to fix the problem the pictures are not good.,2015-08-31,1,complaint kindl camera take graini pictur tri everyth fix problem pictur good
US,39466736,R3PZUZS3H4JEE7,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,great,2015-08-31,1,great
US,11447843,R8OPOT8P656XZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,N,The promotional price was very good. I was worried as my last android device ...,"Just got it.  The promotional price was very good.  I was worried as my last android device was a real turkey.  My main purpose for this was as a reader .  It downloaded everything fairly fast and with no problems, from my Overdrive app.  I really need it for traveling.  It's a perfect size  The screen resolution if great.  I am not sure of the sound quality yet, but it expect it to be as good as most apple phones.  Amazon really bends over backwards to keep it's prime customers happy.  I really appreciate the good service.",2015-08-31,1,got promot price good worri last android devic real turkey main purpos reader download everyth fairli fast problem overdr app realli need travel perfect size screen resolut great sure sound qualiti yet expect good appl phone amazon realli bend backward keep prime custom happi realli appreci good servic
US,1879148,R1G87YG68LE5PX,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,I love this product,2015-08-31,1,love product
US,30532922,R1AKNJIJ586BJ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,3,1,1,N,Y,Three Stars,Its a nice tablet but I was disappointed to see that they deliberately made using Chromecast impossible,2015-08-31,0,nice tablet disappoint see deliber made use chromecast imposs
US,27630491,R110DOQO7CLFQU,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,2,0,1,N,N,Don't waste your money on this tablet,"Don't waste your money buying a kindle fire hd 7&#34;. You'll do 100 better buying any other tablet on the market. The Kindle is limited by Amazon and purposely doesn't allow downloads of apps that aren't on Amazon market place.  This tablet has soooo many problems !! AS in :  slow connection to internet, NO connection to internet possible much of the time, slow or no connection to videos, games, etc. NO support!!! Just reading other problems from other owners.  So, do yourself a huge favor and buy ANYTHING ELSE!!!  Mine was a gift from my well-meaning son.",2015-08-31,0,dont wast money buy kindl fire hd youll better buy tablet market kindl limit amazon purpos doesnt allow download app arent amazon market place tablet soooo mani problem slow connect internet connect internet possibl much time slow connect video game etc support read problem owner huge favor buy anyth el mine gift wellmean son
US,38564384,RJ1E1QJHFRSAP,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,2,0,0,N,Y,Same sloppy OS same glitches still no flash compatability...,"Still just as slow and glitchy as the first edition fire. Still not flash compatible which renders the browser useless. Freezes constantly, crap battery life and regularly occuring issues with loading the page you were on last.  Incredibly disappointing.",2015-08-31,0,still slow glitchi first edit fire still flash compat render browser useless freez constantli crap batteri life regularli occur issu load page last incred disappoint
US,15969408,RG5MWN2IRT2VM,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Five Stars,Was a gift,2015-08-31,1,gift
US,9326215,R1H267N5WIK5RQ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Excellent device. HD is top notch. Sound is great. Would definately recommend Fire HD,2015-08-31,1,excel devic hd top notch sound great would defin recommend fire hd
US,30393633,R3H9CPCNGZ7HKG,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,I was able to program the Kindle easily on my own,I thought I would have to ask a professional to set me up with my new Kindle Fire HD.  NOT SO. I was able to program the Kindle easily on my own.  All of my previous books were already there. (In the Clouds). I was also able to download a few songs on my own.  I am enjoying my Kindle Fire HD.,2015-08-31,1,thought would ask profession set new kindl fire hd abl program kindl easili previou book alreadi cloud also abl download song enjoy kindl fire hd
US,38049708,RNFFGDP2PAS89,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Love My Kindle,I finally gave in a replaced my Paperwhite with a Fire. I really loved my Paperwhite and I think I'm going to love this as well. I use it every day and I get a little upset when I accidentally leave it at home and I don't have it with me.  This is one of the best purchases I've made for myself.,2015-08-31,1,final gave replac paperwhit fire realli love paperwhit think im go love well use everi day get littl upset accident leav home dont one best purchas ive made
US,19170251,R1GQCG6BUWXCP2,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Five Stars,Perfect size with great capabilities. Very excited that  I made the choice to finally purchase one of these.,2015-08-31,1,perfect size great capabl excit made choic final purchas one
US,13951130,RIEWNO8Z8I1J5,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Great product!,We've bought several for family members!,2015-08-31,1,weve bought sever famili member
US,49091241,R2MF6AOUOVGORH,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,3,0,0,N,N,"Won't stay connected to the WiFi, am having to ...","Won't stay connected to the WiFi, am having to constantly log in no matter where I am (public, home, etc).",2015-08-31,0,wont stay connect wifi constantli log matter public home etc
